0|17|5|13|17|3|16|6|17|10|13|3|4|4|9|
1|0|12|10|12|13|1|16|14|11|9|7|4|17|14|
19|1|0|8|10|15|12|16|12|1|6|6|17|17|9|
18|6|17|0|6|18|8|1|4|3|15|8|4|18|3|
13|4|11|19|0|18|12|17|9|5|13|9|11|12|8|
12|5|6|15|4|0|8|15|6|11|2|5|10|13|16|
18|12|2|11|14|13|0|18|16|15|7|19|5|11|9|
1|5|17|7|15|12|12|0|17|9|12|19|11|8|8|
12|9|14|8|18|2|11|12|0|11|17|17|18|10|15|
10|19|15|18|16|7|5|7|5|0|18|15|2|5|1|
4|9|11|3|6|11|4|6|12|12|0|7|10|18|8|
13|19|9|16|3|16|8|10|17|2|14|0|1|3|6|
5|16|13|17|17|10|9|3|6|14|13|18|0|12|4|
7|4|12|7|8|16|13|5|9|18|18|8|12|0|13|
12|10|9|5|8|17|1|16|19|9|12|8|19|11|0|
