0|14|15|4|4|4|4|3|13|10|7|13|7|12|1|7|14|18|9|17|
16|0|10|15|6|8|11|14|4|10|5|3|15|1|17|3|10|14|14|15|
4|9|0|10|18|1|2|12|2|6|19|9|5|11|3|10|3|1|18|9|
16|13|10|0|1|12|9|7|12|13|9|9|10|13|1|4|6|9|6|12|
15|4|15|9|0|9|4|2|19|12|12|10|14|3|12|5|18|2|14|9|
17|9|13|9|19|0|12|16|10|16|5|8|17|1|17|8|3|6|1|4|
1|16|11|9|15|1|0|3|14|7|18|9|2|2|11|1|8|3|3|15|
16|17|13|14|5|15|5|0|15|9|17|14|9|19|17|17|14|12|6|19|
18|9|16|17|9|11|8|3|0|6|6|1|9|6|1|11|4|7|8|2|
7|14|11|6|14|17|12|9|10|0|5|4|17|9|3|3|5|6|1|19|
4|4|17|12|18|9|9|9|9|9|0|8|14|10|7|11|19|6|7|4|
2|1|17|2|18|18|2|9|12|7|3|0|16|5|3|8|5|18|10|3|
13|17|5|8|4|1|2|11|13|11|17|3|0|17|17|3|19|18|7|2|
18|13|16|19|17|3|6|13|4|11|3|2|12|0|10|3|14|6|16|12|
13|2|17|8|8|18|14|4|6|18|3|4|9|18|0|17|11|9|16|17|
8|6|18|8|17|19|11|9|6|13|14|4|16|3|7|0|13|19|2|6|
8|2|4|19|19|14|2|7|13|4|15|18|14|18|9|8|0|7|14|14|
19|8|17|10|8|10|12|15|6|2|3|5|17|9|4|8|16|0|5|7|
19|13|16|13|17|5|10|14|19|6|8|14|1|19|6|3|17|11|0|12|
15|9|8|19|16|5|11|19|17|10|11|10|12|4|1|15|1|4|15|0|
