0|19|5|18|16|12|10|18|8|3|6|12|7|6|17|5|10|17|12|14|1|8|7|5|13|
5|0|9|16|15|11|1|4|5|18|3|11|7|17|13|15|10|18|17|9|14|6|4|5|12|
8|14|0|3|4|7|4|7|13|19|5|11|4|13|3|17|3|2|8|8|4|7|17|13|5|
16|4|3|0|10|17|11|7|2|4|4|7|16|17|1|17|15|15|17|7|12|2|12|16|15|
1|7|13|18|0|15|2|6|11|1|18|7|3|2|16|15|9|18|10|19|10|15|1|5|1|
10|12|8|9|10|0|2|3|5|8|7|9|11|18|9|6|3|18|16|16|19|13|15|14|19|
3|18|14|11|13|7|0|19|1|2|12|9|3|14|16|1|19|15|3|15|14|7|4|11|9|
4|17|11|19|4|6|8|0|14|18|8|7|11|8|11|11|2|8|9|10|7|1|4|8|2|
15|16|4|11|1|1|12|18|0|8|5|7|15|15|19|17|16|4|14|5|6|10|9|12|4|
11|13|7|18|14|5|8|1|9|0|10|5|8|2|17|14|17|16|9|4|3|4|16|7|8|
11|13|3|7|18|2|12|6|4|1|0|19|7|14|13|4|4|16|6|6|6|15|9|15|7|
19|7|10|2|6|10|19|15|7|18|7|0|2|3|2|3|7|17|18|4|1|17|7|4|3|
5|1|6|17|10|2|12|3|18|15|7|12|0|12|11|1|14|1|4|1|15|6|2|2|15|
4|19|8|17|6|14|10|13|3|7|16|5|4|0|2|6|5|6|5|3|7|14|11|15|7|
18|10|1|13|6|8|17|3|19|11|14|11|13|15|0|17|5|6|14|9|6|14|15|10|18|
18|15|10|2|19|14|1|13|5|2|18|15|13|16|7|0|15|9|13|6|13|8|15|12|10|
8|18|2|1|2|9|12|3|19|2|15|10|18|16|4|5|0|10|1|7|12|16|2|11|10|
8|14|17|1|10|17|11|3|4|19|13|1|13|19|11|15|9|0|16|16|12|1|16|16|13|
9|1|3|7|9|19|14|7|7|12|13|8|12|11|13|2|10|12|0|7|19|3|3|12|10|
9|11|4|1|5|19|9|11|17|4|12|9|15|4|14|5|6|7|14|0|2|7|4|4|17|
3|15|2|8|10|17|11|7|9|12|18|18|15|13|2|8|3|2|10|8|0|19|5|7|7|
18|2|14|15|9|11|4|6|7|7|17|10|17|1|2|1|12|5|19|4|6|0|16|9|12|
6|6|18|6|13|16|17|18|9|15|10|8|4|16|17|18|8|13|11|9|15|12|0|10|2|
19|10|15|14|5|3|2|3|12|2|9|3|12|17|12|11|10|19|2|3|11|13|17|0|16|
8|2|15|12|5|1|16|14|16|16|6|3|1|3|14|6|13|8|16|2|7|14|6|10|0|
