0,65,38,47,45,41,35,68,80,45,22,73,23,58,78,
65,0,39,46,37,44,55,39,16,40,47,49,50,40,43,
38,39,0,54,45,7,51,63,51,9,16,72,39,57,41,
47,46,54,0,10,60,15,25,61,61,46,27,25,13,82,
45,37,45,10,0,52,20,24,52,52,40,29,23,13,73,
41,44,7,60,52,0,57,70,54,6,20,79,44,64,38,
35,55,51,15,20,57,0,40,70,59,40,42,14,28,86,
68,39,63,25,24,70,40,0,49,69,62,10,46,12,81,
80,16,51,61,52,54,70,49,0,49,61,58,66,53,41,
45,40,9,61,52,6,59,69,49,0,25,78,47,63,33,
22,47,16,46,40,20,40,62,61,25,0,69,26,53,57,
73,49,72,27,29,79,42,10,58,78,69,0,51,16,91,
23,50,39,25,23,44,14,46,66,47,26,51,0,35,75,
58,40,57,13,13,64,28,12,53,63,53,16,35,0,80,
78,43,41,82,73,38,86,81,41,33,57,91,75,80,0,
