0,10,10,6,8,3,14,19,10,2,8,1,12,4,15,
16,0,5,19,6,18,6,10,7,12,4,13,16,6,19,
15,7,0,12,8,17,3,16,6,15,1,13,16,8,11,
2,17,2,0,12,10,17,10,6,12,13,18,17,11,4,
17,3,14,6,0,9,19,14,14,15,12,14,1,18,10,
10,19,13,2,18,0,19,5,14,3,1,7,9,10,10,
15,19,10,1,11,13,0,9,13,6,7,7,8,16,7,
3,9,18,9,18,19,16,0,13,19,16,19,12,18,3,
1,13,19,1,10,5,19,15,0,3,14,10,6,2,17,
13,6,15,10,3,18,12,13,3,0,18,10,10,13,2,
19,13,1,18,15,6,12,13,8,7,0,18,11,7,8,
7,4,18,13,17,19,1,13,2,10,9,0,19,11,8,
11,1,10,19,11,18,15,10,13,11,10,15,0,5,19,
18,8,12,11,12,4,7,18,19,17,12,14,2,0,6,
11,11,10,15,15,5,3,7,16,18,1,9,12,16,0,
