0,5,8,12,13,11,4,15,9,13,7,18,8,17,14,10,2,15,17,9,13,13,16,13,13,
2,0,13,15,17,7,16,4,17,17,19,16,12,4,13,5,12,16,11,4,8,11,2,9,4,
19,4,0,18,2,10,13,6,8,14,19,12,17,8,17,3,16,4,2,10,17,18,18,17,3,
13,16,16,0,2,13,5,2,19,5,12,18,3,17,2,7,5,14,8,17,4,1,7,4,19,
8,7,5,10,0,12,11,6,1,7,16,8,14,17,4,15,9,18,12,12,16,18,19,19,2,
15,6,4,10,1,0,13,2,6,13,17,14,7,1,12,8,14,6,17,16,2,14,13,7,10,
13,8,6,9,14,7,0,1,9,8,3,14,7,7,15,19,13,15,3,1,19,10,8,9,7,
5,18,11,1,3,18,8,0,3,18,14,17,13,8,13,11,6,17,5,19,18,17,2,8,10,
18,4,6,12,12,8,19,5,0,19,19,4,16,16,19,7,10,14,12,8,12,18,7,6,3,
11,15,3,6,9,11,9,4,10,0,1,3,18,12,16,10,11,15,13,13,8,9,15,10,17,
18,10,4,6,13,15,12,11,18,4,0,1,17,6,14,15,9,10,1,7,15,16,8,17,18,
2,17,16,5,13,17,13,16,5,5,7,0,19,8,4,10,14,8,12,1,8,15,13,6,2,
17,5,17,9,8,14,2,11,12,5,4,15,0,18,7,17,1,11,5,12,1,7,16,2,7,
10,12,8,4,7,10,3,8,12,15,8,9,19,0,5,8,10,3,15,7,3,19,15,16,1,
15,19,17,10,1,5,14,2,4,11,18,16,7,17,0,5,3,2,16,4,4,19,9,2,7,
17,2,17,11,9,18,8,15,16,7,9,7,13,12,7,0,8,1,6,5,9,6,11,4,6,
11,5,1,4,11,12,2,6,18,10,13,19,7,3,12,6,0,4,4,1,1,8,17,10,10,
9,16,3,14,4,13,1,7,18,12,19,5,18,4,4,4,6,0,3,9,3,19,8,1,18,
13,19,5,3,10,3,17,14,14,11,15,15,10,7,3,6,10,7,0,1,15,4,8,8,19,
19,17,15,5,9,8,10,1,15,5,1,5,8,18,16,15,14,6,10,0,7,9,8,13,18,
1,3,13,13,8,5,14,6,12,5,4,13,8,12,5,7,2,14,19,6,0,7,17,17,11,
10,5,2,17,17,1,11,11,5,17,4,6,14,16,13,11,10,14,13,3,15,0,4,8,2,
1,3,6,14,8,7,11,4,6,2,3,3,4,17,8,11,14,12,8,11,8,19,0,12,5,
2,9,16,12,5,15,16,7,16,19,16,15,14,16,3,17,6,1,1,13,14,10,7,0,12,
6,2,8,3,15,17,13,2,10,2,13,19,11,18,19,11,6,16,6,5,1,13,16,18,0,
