0,11,8,3,2,14,1,15,14,17,17,8,7,2,12,2,13,8,17,17,
9,0,18,3,2,15,1,19,17,12,12,13,11,3,11,10,8,11,15,10,
19,1,0,11,17,13,12,8,9,4,10,5,4,11,4,12,4,17,8,7,
7,2,15,0,3,3,2,5,7,5,15,11,4,10,18,17,17,16,18,2,
10,10,8,12,0,16,8,8,9,3,8,11,8,12,1,5,8,9,5,18,
9,15,9,5,3,0,13,12,6,15,6,13,6,16,6,16,18,16,19,10,
19,15,15,13,2,18,0,13,7,19,4,5,10,9,13,17,9,6,1,5,
5,18,4,2,13,4,10,0,2,15,3,15,2,8,8,18,6,4,14,2,
8,7,9,6,12,2,10,15,0,5,13,18,16,10,17,12,14,11,15,13,
3,10,12,16,17,4,4,3,16,0,2,10,8,14,15,4,13,17,15,12,
11,19,3,8,6,9,17,7,6,4,0,16,14,8,10,10,11,12,15,10,
11,3,8,19,13,13,14,6,5,1,6,0,4,14,18,18,5,13,19,2,
6,8,1,17,18,18,1,8,3,17,4,4,0,12,17,8,5,10,3,1,
10,15,11,4,12,6,19,1,2,15,9,6,17,0,12,10,9,3,11,6,
10,2,12,5,12,8,2,16,13,6,7,14,9,2,0,13,10,7,15,5,
9,11,18,18,19,13,13,12,7,12,3,8,5,13,5,0,13,18,17,10,
19,15,11,10,6,14,14,1,1,4,4,2,3,14,18,3,0,14,11,4,
12,11,18,16,15,4,11,18,2,1,4,9,14,12,16,15,9,0,17,1,
12,5,6,12,13,8,3,11,19,14,7,11,10,2,15,5,18,2,0,19,
16,6,15,16,12,19,16,15,10,9,6,18,9,5,14,18,18,7,19,0,
