0,61,22,74,27,75,72,108,66,87,69,35,77,48,73,75,67,61,37,58,68,50,98,45,27,
61,0,55,100,37,88,13,74,86,88,15,66,84,51,93,20,57,74,71,78,9,31,37,53,66,
22,55,0,57,19,54,67,88,47,66,58,17,56,27,54,65,46,40,20,38,60,35,91,24,12,
74,100,57,0,72,20,111,88,15,38,96,41,27,50,10,100,52,27,38,22,101,70,130,48,48,
27,37,19,72,0,66,49,84,60,73,43,33,65,30,67,50,47,51,38,51,43,25,74,29,30,
75,88,54,20,66,0,98,68,11,19,82,40,8,38,11,85,34,15,39,17,87,57,115,38,48,
72,13,67,111,49,98,0,76,97,97,19,78,94,62,104,20,66,85,83,89,12,42,26,64,78,
108,74,88,88,84,68,76,0,76,53,60,85,61,62,78,56,44,67,88,75,67,60,78,66,92,
66,86,47,15,60,11,97,76,0,30,82,31,17,36,8,85,38,13,30,10,87,56,116,34,39,
87,88,66,38,73,19,97,53,30,0,79,54,13,44,29,80,31,27,54,33,85,59,110,45,62,
69,15,58,96,43,82,19,60,82,79,0,67,77,47,88,8,49,69,72,74,8,28,35,50,68,
35,66,17,41,33,40,78,85,31,54,67,0,42,25,38,73,41,27,5,23,70,40,101,21,9,
77,84,56,27,65,8,94,61,17,13,77,42,0,37,18,80,29,16,42,21,83,54,110,37,51,
48,51,27,50,30,38,62,62,36,44,47,25,37,0,43,52,20,24,29,28,52,20,82,4,30,
73,93,54,10,67,11,104,78,8,29,88,38,18,43,0,91,43,19,36,17,93,62,122,41,46,
75,20,65,100,50,85,20,56,85,80,8,73,80,52,91,0,51,73,77,78,12,33,31,55,74,
67,57,46,52,47,34,66,44,38,31,49,41,29,20,43,51,0,26,44,33,55,29,81,23,48,
61,74,40,27,51,15,85,67,13,27,69,27,16,24,19,73,26,0,27,8,74,43,103,23,35,
37,71,20,38,38,39,83,88,30,54,72,5,42,29,36,77,44,27,0,22,75,45,106,25,11,
58,78,38,22,51,17,89,75,10,33,74,23,21,28,17,78,33,8,22,0,79,48,109,26,31,
68,9,60,101,43,87,12,67,87,85,8,70,83,52,93,12,55,74,75,79,0,32,32,54,70,
50,31,35,70,25,57,42,60,56,59,28,40,54,20,62,33,29,43,45,48,32,0,62,23,43,
98,37,91,130,74,115,26,78,116,110,35,101,110,82,122,31,81,103,106,109,32,62,0,85,102,
45,53,24,48,29,38,64,66,34,45,50,21,37,4,41,55,23,23,25,26,54,23,85,0,26,
27,66,12,48,30,48,78,92,39,62,68,9,51,30,46,74,48,35,11,31,70,43,102,26,0,
