0,26,61,17,86,32,78,76,39,66,6,8,31,77,26,74,50,66,31,66,54,13,41,59,12,82,84,48,54,53,51,54,53,71,24,23,58,32,21,22,38,62,27,47,62,76,58,73,41,56,71,34,18,26,84,22,24,59,47,43,16,27,77,24,76,64,18,63,61,60,82,73,75,24,61,78,28,44,84,71,37,72,52,61,47,12,74,66,16,58,67,34,7,71,80,23,30,72,66,30,
26,0,82,39,93,50,69,63,55,86,25,29,32,73,19,87,75,83,57,75,76,31,58,66,37,80,84,67,59,59,46,77,49,84,24,41,81,55,33,6,23,71,51,72,52,94,60,93,64,61,85,9,26,5,82,5,9,57,67,29,42,21,86,23,85,88,10,87,86,85,89,76,66,13,85,89,54,70,76,62,44,61,35,71,67,25,81,84,38,79,88,60,32,60,68,49,54,76,51,12,
61,82,0,63,54,33,87,95,31,6,60,55,58,76,87,32,33,18,42,41,8,52,26,43,51,73,71,16,49,47,66,16,67,31,62,42,13,30,51,76,99,39,35,30,80,21,55,12,22,48,30,91,57,80,76,79,75,63,16,80,54,88,44,63,44,18,78,19,25,38,54,58,86,72,19,41,51,32,90,84,48,89,87,36,15,72,47,14,64,4,8,46,55,88,95,50,34,56,92,79,
17,39,63,0,97,40,93,92,48,68,22,21,46,92,32,82,43,72,24,77,56,26,48,70,17,96,98,53,68,66,66,52,69,79,40,32,57,34,35,37,43,73,30,41,78,81,72,75,42,69,79,45,33,40,99,35,39,73,51,59,10,31,87,40,86,62,30,60,57,52,94,86,91,40,58,88,18,39,100,87,51,88,68,71,50,15,85,71,1,61,67,25,18,87,96,15,30,85,82,45,
86,93,54,97,0,58,55,66,49,50,82,79,62,40,107,22,83,37,85,20,58,74,50,28,80,32,27,50,35,35,52,67,50,23,70,65,66,68,66,88,115,25,70,80,59,39,35,54,65,33,25,101,71,89,33,92,85,41,53,74,88,109,11,71,11,71,94,73,78,91,5,21,55,80,72,13,92,80,53,56,51,62,76,26,55,97,13,41,97,54,59,89,81,61,64,88,72,20,72,84,
32,50,33,40,58,0,67,71,9,37,29,25,27,60,57,44,38,35,30,38,28,20,10,33,24,62,62,18,32,30,41,32,43,40,30,10,35,14,18,44,68,34,14,34,55,45,38,44,19,33,40,58,24,47,65,46,43,43,18,49,31,58,48,31,47,42,46,42,43,49,55,49,65,39,40,49,36,33,72,62,20,66,57,32,19,43,46,36,40,30,40,35,25,64,73,31,17,48,65,46,
78,69,87,93,55,67,0,13,63,87,73,73,48,16,87,67,105,75,95,50,87,69,66,46,80,25,30,74,39,42,28,94,26,65,54,68,96,81,60,66,89,51,80,100,17,83,33,94,85,40,67,73,61,65,25,70,62,25,77,41,89,89,56,54,55,103,75,104,106,115,51,36,3,59,102,61,99,100,8,7,48,10,36,53,79,86,50,79,93,85,95,100,77,11,10,93,83,38,24,58,
76,63,95,92,66,71,13,0,68,94,71,73,48,28,81,77,108,83,97,60,93,69,72,54,80,37,42,80,46,49,30,100,29,74,53,70,102,84,61,61,83,60,83,104,16,92,41,102,89,48,76,66,60,59,37,65,57,32,82,35,89,83,67,52,65,109,70,109,112,119,62,47,12,55,108,71,99,103,19,12,51,6,28,62,84,83,60,87,92,92,102,102,76,7,6,94,86,49,14,52,
39,55,31,48,49,9,63,68,0,33,36,32,29,55,63,36,43,29,37,30,26,27,5,25,32,55,55,15,26,23,38,33,40,32,33,17,35,20,22,49,74,26,22,38,52,39,32,41,22,26,33,64,29,52,58,52,47,38,16,50,40,65,40,34,39,43,52,43,45,53,47,42,61,43,41,40,44,38,66,58,18,62,57,24,18,51,38,30,48,28,38,42,33,61,69,40,24,40,63,50,
66,86,6,68,50,37,87,94,33,0,64,59,61,75,92,28,38,14,48,39,14,56,29,42,55,71,69,19,49,46,67,21,68,28,65,45,17,35,54,80,103,37,40,36,81,16,54,9,27,48,26,94,60,83,74,82,79,63,19,82,59,93,41,66,41,22,81,23,29,43,50,56,85,75,23,38,56,37,88,84,50,89,89,34,19,76,44,10,69,8,9,51,59,88,95,55,39,54,93,82,
